adgroup_id,展示量,点击量,点击率百分比
41300,244,9,3.69
42362,194,9,4.64
41559,238,9,3.78
43331,109,9,8.26
39798,110,9,8.18
40207,130,9,6.92
48494,307,9,2.93
48669,174,9,5.17
52408,69,9,13.04
53730,169,9,5.33
47123,143,9,6.29
51016,221,9,4.07
45585,190,9,4.74
59778,213,9,4.23
59052,109,9,8.26
61065,162,9,5.56
61963,259,9,3.47
54521,213,9,4.23
71692,98,9,9.18
64655,156,9,5.77
68564,189,9,4.76
83918,55,9,16.36
81830,88,9,10.23
76778,67,9,13.43
76034,49,9,18.37
83059,41,9,21.95
75447,144,9,6.25
88032,122,9,7.38
90421,174,9,5.17
91154,113,9,7.96
89316,267,9,3.37
94756,104,9,8.65
94716,134,9,6.72
95783,111,9,8.11
99924,89,9,10.11
101990,226,9,3.98
102314,75,9,12.0
103874,324,9,2.78
103598,127,9,7.09
101512,75,9,12.0
100873,159,9,5.66
12565,100,8,8.0
12022,32,8,25.0
2163,68,8,11.76
922,160,8,5.0
736,114,8,7.02
5027,198,8,4.04
953,153,8,5.23
10160,52,8,15.38
22901,51,8,15.69
15728,163,8,4.91
24712,66,8,12.12
20715,35,8,22.86
14190,287,8,2.79
28083,198,8,4.04
34070,139,8,5.76
26300,148,8,5.41
30061,222,8,3.6
28644,74,8,10.81
32512,84,8,9.52
41894,124,8,6.45
38648,219,8,3.65
43565,78,8,10.26
41116,87,8,9.2
37868,179,8,4.47
42125,57,8,14.04
38005,89,8,8.99
38793,138,8,5.8
44167,149,8,5.37
43545,286,8,2.8
52143,162,8,4.94
52349,157,8,5.1
49511,65,8,12.31
45877,63,8,12.7
51051,95,8,8.42
48110,48,8,16.67
53924,104,8,7.69
54118,74,8,10.81
54099,125,8,6.4
54047,148,8,5.41
48118,110,8,7.27
46052,106,8,7.55
54189,110,8,7.27
52325,83,8,9.64
57802,269,8,2.97
59911,36,8,22.22
57394,190,8,4.21
62574,404,8,1.98
55727,94,8,8.51
58242,99,8,8.08
59713,88,8,9.09
60020,218,8,3.67
63557,69,8,11.59
70215,47,8,17.02
72756,116,8,6.9
71441,82,8,9.76
67621,114,8,7.02
81641,74,8,10.81
79205,72,8,11.11
78847,133,8,6.02
73637,50,8,16.0
81895,94,8,8.51
75461,63,8,12.7
76476,181,8,4.42
82350,110,8,7.27
74082,108,8,7.41
87295,188,8,4.26
86129,314,8,2.55
89680,214,8,3.74
87544,88,8,9.09
84165,174,8,4.6
89413,95,8,8.42
94724,111,8,7.21
97508,151,8,5.3
99586,125,8,6.4
95384,199,8,4.02
97893,91,8,8.79
94934,84,8,9.52
97486,96,8,8.33
97768,124,8,6.45
97902,202,8,3.96
98434,158,8,5.06
97905,91,8,8.79
98443,87,8,9.2
95087,180,8,4.44
104345,87,8,9.2
103207,81,8,9.88
102373,131,8,6.11
7206,135,7,5.19
3207,92,7,7.61
6746,101,7,6.93
4788,218,7,3.21
8619,156,7,4.49
6029,78,7,8.97
5723,113,7,6.19
8050,52,7,13.46
23739,42,7,16.67
15435,221,7,3.17
13470,102,7,6.86
15466,85,7,8.24
22778,61,7,11.48
19504,126,7,5.56
18839,183,7,3.83
18260,38,7,18.42
22575,30,7,23.33
16737,162,7,4.32
24502,69,7,10.14
34179,231,7,3.03
30218,156,7,4.49
34925,48,7,14.58
28372,33,7,21.21
25687,235,7,2.98
26436,89,7,7.87
31816,289,7,2.42
29128,146,7,4.79
28552,105,7,6.67
28779,70,7,10.0
38562,91,7,7.69
41778,75,7,9.33
42118,171,7,4.09
44445,79,7,8.86
43238,115,7,6.09
45078,112,7,6.25
40989,89,7,7.87
38636,63,7,11.11
43144,169,7,4.14
53643,73,7,9.59
54144,87,7,8.05
46251,195,7,3.59
49522,169,7,4.14
53272,96,7,7.29
51300,131,7,5.34
46741,83,7,8.43
52166,129,7,5.43
51424,72,7,9.72
51476,65,7,10.77
52518,81,7,8.64
58985,97,7,7.22
62354,174,7,4.02
62706,263,7,2.66
60031,160,7,4.38
61756,290,7,2.41
55875,56,7,12.5
60379,174,7,4.02
61427,167,7,4.19
58793,118,7,5.93
61022,39,7,17.95
58073,125,7,5.6
59592,29,7,24.14
61912,240,7,2.92
65243,57,7,12.28
71524,66,7,10.61
66744,144,7,4.86
72422,62,7,11.29
71208,57,7,12.28
66304,25,7,28.0
72725,145,7,4.83
73555,99,7,7.07
71858,128,7,5.47
68958,53,7,13.21
69351,206,7,3.4
63746,60,7,11.67
64620,167,7,4.19
64970,53,7,13.21
75682,144,7,4.86
76603,79,7,8.86
75255,74,7,9.46
75784,56,7,12.5
83052,202,7,3.47
79157,119,7,5.88
75727,98,7,7.14
81135,225,7,3.11
86206,58,7,12.07
89194,105,7,6.67
92748,216,7,3.24
88496,94,7,7.45
87945,101,7,6.93
90055,131,7,5.34
91149,84,7,8.33
88888,208,7,3.37
90397,75,7,9.33
87365,63,7,11.11
91977,90,7,7.78
88140,52,7,13.46
89211,63,7,11.11
87691,169,7,4.14
94588,239,7,2.93
97631,74,7,9.46
95389,123,7,5.69
99758,65,7,10.77
97525,171,7,4.09
99371,81,7,8.64
93710,71,7,9.86
98533,74,7,9.46
99827,17,7,41.18
101895,92,7,7.61
100337,84,7,8.33
102699,126,7,5.56
103341,131,7,5.34
100830,33,7,21.21
102962,235,7,2.98
102092,166,7,4.22
104171,159,7,4.4
102325,63,7,11.11
6832,37,6,16.22
7499,216,6,2.78
4727,133,6,4.51
6508,56,6,10.71
10663,64,6,9.38
3908,209,6,2.87
1881,39,6,15.38
2717,156,6,3.85
12714,60,6,10.0
3849,129,6,4.65
6733,32,6,18.75
3250,243,6,2.47
3910,97,6,6.19
19939,69,6,8.7
21853,83,6,7.23
15085,149,6,4.03
21022,44,6,13.64
15329,199,6,3.02
18454,37,6,16.22
14695,142,6,4.23
24302,62,6,9.68
15610,64,6,9.38
13867,107,6,5.61
21093,102,6,5.88
33239,75,6,8.0
30577,112,6,5.36
26912,97,6,6.19
28656,173,6,3.47
32885,81,6,7.41
31219,18,6,33.33
30845,81,6,7.41
28095,165,6,3.64
27028,60,6,10.0
28973,114,6,5.26
44611,107,6,5.61
39334,55,6,10.91
43869,71,6,8.45
42465,43,6,13.95
39576,296,6,2.03
37271,72,6,8.33
44747,91,6,6.59
44996,79,6,7.59
37303,106,6,5.66
43014,99,6,6.06
42725,155,6,3.87
42989,74,6,8.11
43973,190,6,3.16
54152,75,6,8.0
47052,99,6,6.06
46175,217,6,2.76
50290,219,6,2.74
53671,46,6,13.04
46080,62,6,9.68
46897,61,6,9.84
50126,112,6,5.36
47499,151,6,3.97
54445,55,6,10.91
47621,116,6,5.17
48631,40,6,15.0
51725,85,6,7.06
51776,124,6,4.84
58436,109,6,5.5
62741,75,6,8.0
61212,84,6,7.14
63336,123,6,4.88
57987,72,6,8.33
62232,206,6,2.91
58809,128,6,4.69
55344,49,6,12.24
57266,101,6,5.94
59962,111,6,5.41
60447,108,6,5.56
71881,103,6,5.83
67992,32,6,18.75
68764,51,6,11.76
70852,78,6,7.69
65365,21,6,28.57
63371,157,6,3.82
73287,153,6,3.92
70353,147,6,4.08
72827,189,6,3.17
71698,174,6,3.45
68070,77,6,7.79
71918,106,6,5.66
72002,194,6,3.09
70565,63,6,9.52
70598,43,6,13.95
69302,131,6,4.58
82408,105,6,5.71
82517,53,6,11.32
76946,86,6,6.98
81588,141,6,4.26
78660,22,6,27.27
82257,62,6,9.68
92895,105,6,5.71
89087,76,6,7.89
86274,166,6,3.61
85129,116,6,5.17
84355,108,6,5.56
90112,80,6,7.5
91288,60,6,10.0
87464,82,6,7.32
90060,89,6,6.74
86180,204,6,2.94
88431,130,6,4.62
90337,57,6,10.53
85534,107,6,5.61
89086,80,6,7.5
98718,137,6,4.38
93790,75,6,8.0
93303,126,6,4.76
93098,152,6,3.95
95126,70,6,8.57
95041,103,6,5.83
98875,82,6,7.32
98776,85,6,7.06
98292,86,6,6.98
98477,91,6,6.59
99268,41,6,14.63
97312,30,6,20.0
97977,68,6,8.82
102985,75,6,8.0
100440,22,6,27.27
100356,112,6,5.36
104146,157,6,3.82
101227,172,6,3.49
100231,58,6,10.34
102444,101,6,5.94
100770,123,6,4.88
100328,117,6,5.13
100489,66,6,9.09
100187,45,6,13.33
148,27,5,18.52
10558,23,5,21.74
3725,39,5,12.82
5708,91,5,5.49
768,51,5,9.8
212,164,5,3.05
7490,94,5,5.32
5917,107,5,4.67
8921,84,5,5.95
12585,99,5,5.05
890,99,5,5.05
13069,118,5,4.24
7845,273,5,1.83
11079,27,5,18.52
9773,58,5,8.62
17097,47,5,10.64
14195,135,5,3.7
13634,120,5,4.17
16645,126,5,3.97
15342,83,5,6.02
18590,33,5,15.15
15893,104,5,4.81
18343,120,5,4.17
17752,61,5,8.2
20081,52,5,9.62
18586,45,5,11.11
20460,22,5,22.73
24510,172,5,2.91
19425,23,5,21.74
18042,79,5,6.33
25082,98,5,5.1
13816,44,5,11.36
23964,116,5,4.31
15965,163,5,3.07
19422,33,5,15.15
21973,220,5,2.27
32254,52,5,9.62
28102,116,5,4.31
36076,29,5,17.24
26744,94,5,5.32
29717,70,5,7.14
29257,41,5,12.2
32571,57,5,8.77
26877,52,5,9.62
26568,29,5,17.24
28876,41,5,12.2
27588,77,5,6.49
29850,82,5,6.1
32946,58,5,8.62
26658,61,5,8.2
28355,51,5,9.8
34206,36,5,13.89
29821,112,5,4.46
29226,62,5,8.06
39977,59,5,8.47
44232,55,5,9.09
37551,56,5,8.93
43725,131,5,3.82
41549,47,5,10.64
42324,182,5,2.75
41853,176,5,2.84
42844,128,5,3.91
39243,92,5,5.43
37952,126,5,3.97
42253,50,5,10.0
40372,47,5,10.64
41001,21,5,23.81
42544,92,5,5.43
43572,48,5,10.42
39115,105,5,4.76
37235,70,5,7.14
42114,55,5,9.09
41367,127,5,3.94
46209,56,5,8.93
51142,39,5,12.82
52825,13,5,38.46
49140,53,5,9.43
45588,154,5,3.25
52172,118,5,4.24
51021,113,5,4.42
51809,76,5,6.58
53773,28,5,17.86
50874,81,5,6.17
49784,29,5,17.24
52607,67,5,7.46
52815,36,5,13.89
51291,37,5,13.51
47266,55,5,9.09
51638,44,5,11.36
52768,35,5,14.29
52305,128,5,3.91
50755,52,5,9.62
51385,18,5,27.78
60540,76,5,6.58
56211,111,5,4.5
57664,124,5,4.03
60528,88,5,5.68
59752,77,5,6.49
55708,82,5,6.1
58492,111,5,4.5
61676,35,5,14.29
55485,86,5,5.81
61084,83,5,6.02
59173,134,5,3.73
59348,14,5,35.71
55671,60,5,8.33
54835,44,5,11.36
56538,103,5,4.85
60845,127,5,3.94
56983,104,5,4.81
57471,66,5,7.58
59794,69,5,7.25
60200,66,5,7.58
60224,142,5,3.52
60261,75,5,6.67
56961,109,5,4.59
69439,75,5,6.67
64293,20,5,25.0
73509,306,5,1.63
69150,17,5,29.41
69130,76,5,6.58
65018,42,5,11.9
73107,78,5,6.41
67246,50,5,10.0
66727,51,5,9.8
69572,89,5,5.62
67779,50,5,10.0
73070,73,5,6.85
65377,17,5,29.41
72495,103,5,4.85
66274,93,5,5.38
65054,71,5,7.04
65864,74,5,6.76
68644,111,5,4.5
80878,30,5,16.67
80365,34,5,14.71
74622,86,5,5.81
77976,29,5,17.24
80054,34,5,14.71
76998,44,5,11.36
82775,96,5,5.21
78606,14,5,35.71
81436,163,5,3.07
79705,91,5,5.49
76177,44,5,11.36
77924,118,5,4.24
77364,66,5,7.58
80039,149,5,3.36
76140,24,5,20.83
80739,34,5,14.71
74003,58,5,8.62
82875,47,5,10.64
74909,46,5,10.87
74156,64,5,7.81
90543,212,5,2.36
88020,50,5,10.0
85635,17,5,29.41
85060,35,5,14.29
88043,37,5,13.51
91484,56,5,8.93
84699,130,5,3.85
90936,72,5,6.94
89071,61,5,8.2
85151,208,5,2.4
86695,101,5,4.95
86998,104,5,4.81
92103,102,5,4.9
89255,56,5,8.93
92184,63,5,7.94
86537,43,5,11.63
85057,82,5,6.1
89622,74,5,6.76
92566,41,5,12.2
87899,80,5,6.25
85518,53,5,9.43
93432,29,5,17.24
98369,236,5,2.12
97093,181,5,2.76
93235,84,5,5.95
95671,149,5,3.36
95101,33,5,15.15
98145,169,5,2.96
93783,143,5,3.5
93438,33,5,15.15
93801,228,5,2.19
94424,36,5,13.89
95009,133,5,3.76
94326,54,5,9.26
102642,44,5,11.36
101537,148,5,3.38
103873,103,5,4.85
101292,61,5,8.2
101247,190,5,2.63
101504,39,5,12.82
104365,65,5,7.69
100789,37,5,13.51
102671,68,5,7.35
103368,233,5,2.15
103250,233,5,2.15
102498,108,5,4.63
104150,61,5,8.2
102966,128,5,3.91
7530,49,4,8.16
2842,27,4,14.81
6904,41,4,9.76
2351,61,4,6.56
8160,58,4,6.9
339,158,4,2.53
4603,217,4,1.84
10190,94,4,4.26
1420,140,4,2.86
8477,49,4,8.16
9982,81,4,4.94
3092,89,4,4.49
12864,104,4,3.85
3687,65,4,6.15
6454,41,4,9.76
8866,17,4,23.53
10795,65,4,6.15
6421,28,4,14.29
4892,59,4,6.78
6018,97,4,4.12
1724,56,4,7.14
8113,61,4,6.56
5769,62,4,6.45
370,12,4,33.33
12223,27,4,14.81
1862,77,4,5.19
9666,60,4,6.67
7459,20,4,20.0
14589,65,4,6.15
16244,49,4,8.16
20666,110,4,3.64
21643,19,4,21.05
14040,31,4,12.9
17519,132,4,3.03
19216,78,4,5.13
21029,159,4,2.52
23910,110,4,3.64
24760,14,4,28.57
19051,41,4,9.76
23331,34,4,11.76
22083,46,4,8.7
13791,44,4,9.09
18960,107,4,3.74
18087,59,4,6.78
18117,74,4,5.41
19260,95,4,4.21
19615,85,4,4.71
23157,56,4,7.14
15992,97,4,4.12
19547,34,4,11.76
16936,5,4,80.0
14116,125,4,3.2
20164,69,4,5.8
17756,24,4,16.67
24180,27,4,14.81
21747,8,4,50.0
18785,90,4,4.44
20998,73,4,5.48
16638,64,4,6.25
19590,20,4,20.0
24421,124,4,3.23
14358,34,4,11.76
24762,81,4,4.94
19946,26,4,15.38
20691,37,4,10.81
20076,121,4,3.31
36347,50,4,8.0
31290,32,4,12.5
33917,30,4,13.33
35975,58,4,6.9
27902,61,4,6.56
32033,88,4,4.55
31558,71,4,5.63
31791,85,4,4.71
34050,33,4,12.12
34422,18,4,22.22
29015,122,4,3.28
34220,57,4,7.02
26929,55,4,7.27
27131,53,4,7.55
28799,83,4,4.82
29584,45,4,8.89
35847,13,4,30.77
29934,61,4,6.56
25522,56,4,7.14
25564,54,4,7.41
35604,116,4,3.45
29548,45,4,8.89
28861,34,4,11.76
28311,44,4,9.09
34072,31,4,12.9
30843,81,4,4.94
35147,30,4,13.33
30863,40,4,10.0
34578,60,4,6.67
31503,128,4,3.13
40946,52,4,7.69
39476,26,4,15.38
40601,174,4,2.3
39605,36,4,11.11
36643,21,4,19.05
42779,23,4,17.39
41786,59,4,6.78
42995,157,4,2.55
42598,40,4,10.0
39910,52,4,7.69
36793,37,4,10.81
36665,42,4,9.52
44424,44,4,9.09
38824,68,4,5.88
39379,81,4,4.94
42332,53,4,7.55
42771,69,4,5.8
41144,14,4,28.57
41928,67,4,5.97
39149,53,4,7.55
44587,102,4,3.92
37863,68,4,5.88
38501,98,4,4.08
37049,80,4,5.0
45236,104,4,3.85
40294,97,4,4.12
37462,69,4,5.8
45290,95,4,4.21
39708,36,4,11.11
37529,54,4,7.41
47116,61,4,6.56
46833,32,4,12.5
48707,65,4,6.15
54434,50,4,8.0
51555,31,4,12.9
49207,32,4,12.5
47479,63,4,6.35
48666,35,4,11.43
53700,115,4,3.48
49343,68,4,5.88
53541,60,4,6.67
53781,105,4,3.81
49246,117,4,3.42
47439,26,4,15.38
52035,141,4,2.84
47174,20,4,20.0
46847,16,4,25.0
54347,73,4,5.48
49474,39,4,10.26
53851,74,4,5.41
47035,40,4,10.0
47523,73,4,5.48
51005,31,4,12.9
47562,70,4,5.71
47150,67,4,5.97
49619,42,4,9.52
45749,45,4,8.89
50140,68,4,5.88
51530,59,4,6.78
45521,118,4,3.39
61800,36,4,11.11
57479,43,4,9.3
56265,42,4,9.52
59020,66,4,6.06
55903,58,4,6.9
58645,89,4,4.49
55908,37,4,10.81
61781,62,4,6.45
56389,44,4,9.09
61874,128,4,3.13
60667,15,4,26.67
58099,63,4,6.35
58597,169,4,2.37
61809,47,4,8.51
58918,117,4,3.42
61201,72,4,5.56
61057,19,4,21.05
59312,86,4,4.65
59976,85,4,4.71
61521,17,4,23.53
61401,26,4,15.38
60532,39,4,10.26
54982,166,4,2.41
60843,40,4,10.0
57997,58,4,6.9
55793,21,4,19.05
60259,30,4,13.33
60136,57,4,7.02
60778,77,4,5.19
57999,114,4,3.51
63028,61,4,6.56
58259,110,4,3.64
61967,35,4,11.43
58890,62,4,6.45
59800,47,4,8.51
65408,22,4,18.18
68135,27,4,14.81
65288,28,4,14.29
72406,65,4,6.15
70182,123,4,3.25
63602,44,4,9.09
70522,40,4,10.0
66359,87,4,4.6
65043,44,4,9.09
69541,98,4,4.08
72021,97,4,4.12
70039,70,4,5.71
68622,164,4,2.44
72479,126,4,3.17
65752,75,4,5.33
63727,44,4,9.09
70870,52,4,7.69
71697,16,4,25.0
72159,51,4,7.84
68256,27,4,14.81
66692,117,4,3.42
64281,160,4,2.5
69638,61,4,6.56
65068,37,4,10.81
68270,67,4,5.97
64603,21,4,19.05
65483,96,4,4.17
63396,60,4,6.67
63604,61,4,6.56
69375,23,4,17.39
63903,24,4,16.67
66719,191,4,2.09
71963,60,4,6.67
66000,91,4,4.4
70309,21,4,19.05
71591,33,4,12.12
66864,93,4,4.3
64438,33,4,12.12
68493,82,4,4.88
68679,93,4,4.3
69561,59,4,6.78
73149,58,4,6.9
75354,218,4,1.83
83423,23,4,17.39
80715,23,4,17.39
81287,66,4,6.06
78937,113,4,3.54
77745,156,4,2.56
74665,54,4,7.41
81697,22,4,18.18
76387,72,4,5.56
77507,57,4,7.02
74671,78,4,5.13
83380,42,4,9.52
74514,31,4,12.9
83317,123,4,3.25
77686,88,4,4.55
76961,55,4,7.27
82678,35,4,11.43
81646,39,4,10.26
77845,33,4,12.12
80057,51,4,7.84
81892,55,4,7.27
83442,30,4,13.33
78376,45,4,8.89
81698,43,4,9.3
78482,58,4,6.9
73811,19,4,21.05
76080,47,4,8.51
83096,119,4,3.36
83504,10,4,40.0
80333,46,4,8.7
77523,69,4,5.8
84000,70,4,5.71
81017,63,4,6.35
80301,167,4,2.4
74141,24,4,16.67
87905,30,4,13.33
88726,32,4,12.5
90069,86,4,4.65
91619,174,4,2.3
92140,81,4,4.94
92694,105,4,3.81
89987,145,4,2.76
84842,55,4,7.27
91290,62,4,6.45
85315,46,4,8.7
87727,65,4,6.15
90627,214,4,1.87
90991,27,4,14.81
84961,51,4,7.84
87733,67,4,5.97
89191,9,4,44.44
88127,53,4,7.55
91692,43,4,9.3
92744,106,4,3.77
86330,60,4,6.67
91986,105,4,3.81
92065,83,4,4.82
87857,81,4,4.94
91529,76,4,5.26
88786,34,4,11.76
92575,108,4,3.7
92755,86,4,4.65
85365,136,4,2.94
90426,92,4,4.35
99538,72,4,5.56
100112,151,4,2.65
97423,80,4,5.0
99231,66,4,6.06
100117,56,4,7.14
96838,42,4,9.52
98465,61,4,6.56
99502,37,4,10.81
94598,76,4,5.26
98565,59,4,6.78
97120,63,4,6.35
94239,95,4,4.21
95906,77,4,5.19
97578,83,4,4.82
93519,36,4,11.11
98186,39,4,10.26
96934,63,4,6.35
98912,39,4,10.26
98374,66,4,6.06
95772,75,4,5.33
98538,27,4,14.81
99575,38,4,10.53
98060,66,4,6.06
95374,44,4,9.09
96984,171,4,2.34
97659,53,4,7.55
99359,95,4,4.21
95582,39,4,10.26
96517,81,4,4.94
98225,127,4,3.15
95949,99,4,4.04
94752,102,4,3.92
95543,257,4,1.56
95075,50,4,8.0
97096,66,4,6.06
