adgroup_id,buy,cart,fav,pv,总行为数,购买转化率,加购率,收藏率
26767,0,0,1,17,18,0.0,0.0,0.0588
40687,0,0,0,2,2,0.0,0.0,0.0
2387,0,0,0,3,3,0.0,0.0,0.0
48711,0,0,0,1,1,0.0,0.0,0.0
31928,0,0,0,1,1,0.0,0.0,0.0
44141,0,0,0,8,8,0.0,0.0,0.0
31352,0,2,0,12,14,0.0,0.1667,0.0
79758,0,0,0,1,1,0.0,0.0,0.0
14148,0,0,0,6,6,0.0,0.0,0.0
63145,0,0,0,1,1,0.0,0.0,0.0
11710,0,4,0,10,14,0.0,0.4,0.0
29058,0,0,0,10,10,0.0,0.0,0.0
65522,0,0,0,1,1,0.0,0.0,0.0
82385,0,0,0,4,4,0.0,0.0,0.0
58905,0,0,0,2,2,0.0,0.0,0.0
10703,0,0,0,3,3,0.0,0.0,0.0
75070,0,0,0,6,6,0.0,0.0,0.0
46938,0,0,0,1,1,0.0,0.0,0.0
91088,0,0,0,1,1,0.0,0.0,0.0
6773,0,1,0,11,12,0.0,0.0909,0.0
62458,0,0,0,1,1,0.0,0.0,0.0
65308,0,0,0,4,4,0.0,0.0,0.0
66400,0,0,0,2,2,0.0,0.0,0.0
56203,0,0,0,2,2,0.0,0.0,0.0
43690,0,1,0,7,8,0.0,0.1429,0.0
46491,0,0,0,6,6,0.0,0.0,0.0
35868,0,0,0,5,5,0.0,0.0,0.0
49197,0,0,1,8,9,0.0,0.0,0.125
70476,0,0,0,2,2,0.0,0.0,0.0
67086,0,0,0,2,2,0.0,0.0,0.0
22021,0,0,0,2,2,0.0,0.0,0.0
93240,0,3,0,42,45,0.0,0.0714,0.0
62462,0,0,1,10,11,0.0,0.0,0.1
76236,1,1,0,31,33,0.0323,0.0323,0.0
8257,1,0,4,34,39,0.0294,0.0,0.1176
63854,0,0,0,24,24,0.0,0.0,0.0
87295,8,4,0,211,223,0.0379,0.019,0.0
42102,0,0,0,6,6,0.0,0.0,0.0
87675,4,2,5,158,169,0.0253,0.0127,0.0316
37409,0,0,2,28,30,0.0,0.0,0.0714
47753,0,2,0,22,24,0.0,0.0909,0.0
84247,0,0,0,8,8,0.0,0.0,0.0
102561,0,0,0,5,5,0.0,0.0,0.0
74948,0,0,0,3,3,0.0,0.0,0.0
39151,1,2,0,35,38,0.0286,0.0571,0.0
34569,0,0,0,25,25,0.0,0.0,0.0
13875,0,5,0,31,36,0.0,0.1613,0.0
89194,0,0,0,18,18,0.0,0.0,0.0
90450,0,0,0,6,6,0.0,0.0,0.0
37006,0,0,0,14,14,0.0,0.0,0.0
75102,2,0,2,71,75,0.0282,0.0,0.0282
81465,0,0,0,9,9,0.0,0.0,0.0
36347,0,0,0,4,4,0.0,0.0,0.0
92895,1,1,0,91,93,0.011,0.011,0.0
104187,0,0,0,9,9,0.0,0.0,0.0
12393,0,0,0,7,7,0.0,0.0,0.0
50792,0,0,1,17,18,0.0,0.0,0.0588
102816,0,0,0,3,3,0.0,0.0,0.0
39977,1,0,0,10,11,0.1,0.0,0.0
42926,0,0,0,32,32,0.0,0.0,0.0
85351,0,0,0,2,2,0.0,0.0,0.0
1903,0,0,0,2,2,0.0,0.0,0.0
86206,0,0,1,30,31,0.0,0.0,0.0333
26646,0,0,0,9,9,0.0,0.0,0.0
66738,2,0,1,43,46,0.0465,0.0,0.0233
65353,1,1,0,16,18,0.0625,0.0625,0.0
27471,0,0,1,7,8,0.0,0.0,0.1429
5287,0,0,0,30,30,0.0,0.0,0.0
13483,1,0,0,96,97,0.0104,0.0,0.0
91473,0,0,0,8,8,0.0,0.0,0.0
50090,0,3,0,19,22,0.0,0.1579,0.0
62172,0,0,0,3,3,0.0,0.0,0.0
16283,0,0,0,1,1,0.0,0.0,0.0
100102,0,0,0,14,14,0.0,0.0,0.0
93432,0,0,0,35,35,0.0,0.0,0.0
39433,0,1,0,3,4,0.0,0.3333,0.0
44553,0,0,0,8,8,0.0,0.0,0.0
79791,1,0,0,0,1,0.0,0.0,0.0
17028,0,0,0,3,3,0.0,0.0,0.0
99630,0,0,0,2,2,0.0,0.0,0.0
3213,0,0,0,3,3,0.0,0.0,0.0
25638,0,0,0,1,1,0.0,0.0,0.0
50343,0,0,0,11,11,0.0,0.0,0.0
69247,0,0,0,1,1,0.0,0.0,0.0
52288,0,1,0,27,28,0.0,0.037,0.0
39867,0,1,0,10,11,0.0,0.1,0.0
89165,0,0,0,1,1,0.0,0.0,0.0
103918,0,0,0,1,1,0.0,0.0,0.0
29942,0,0,0,3,3,0.0,0.0,0.0
52100,0,0,0,1,1,0.0,0.0,0.0
29022,0,0,0,1,1,0.0,0.0,0.0
51243,0,0,0,5,5,0.0,0.0,0.0
67068,0,0,0,1,1,0.0,0.0,0.0
78925,0,0,0,1,1,0.0,0.0,0.0
103638,0,0,1,2,3,0.0,0.0,0.5
72912,0,0,0,5,5,0.0,0.0,0.0
34488,0,0,0,1,1,0.0,0.0,0.0
102430,0,0,0,27,27,0.0,0.0,0.0
70895,0,0,0,8,8,0.0,0.0,0.0
69338,0,0,0,1,1,0.0,0.0,0.0
46818,0,0,0,5,5,0.0,0.0,0.0
89882,0,0,0,3,3,0.0,0.0,0.0
21121,0,0,0,20,20,0.0,0.0,0.0
84445,0,0,0,11,11,0.0,0.0,0.0
80315,0,0,0,1,1,0.0,0.0,0.0
16680,0,0,0,1,1,0.0,0.0,0.0
37657,0,0,0,2,2,0.0,0.0,0.0
77352,0,1,0,1,2,0.0,1.0,0.0
44884,0,0,0,1,1,0.0,0.0,0.0
15173,0,0,0,34,34,0.0,0.0,0.0
8407,0,0,0,1,1,0.0,0.0,0.0
14714,0,0,0,4,4,0.0,0.0,0.0
38910,0,0,0,10,10,0.0,0.0,0.0
95896,0,0,1,13,14,0.0,0.0,0.0769
68064,0,0,0,15,15,0.0,0.0,0.0
56465,1,3,0,24,28,0.0417,0.125,0.0
87849,0,0,0,28,28,0.0,0.0,0.0
87224,1,2,0,38,41,0.0263,0.0526,0.0
66755,0,0,0,2,2,0.0,0.0,0.0
91990,0,0,0,4,4,0.0,0.0,0.0
45027,0,0,0,3,3,0.0,0.0,0.0
34489,0,0,1,6,7,0.0,0.0,0.1667
80669,0,0,1,22,23,0.0,0.0,0.0455
82049,0,0,0,1,1,0.0,0.0,0.0
27602,0,0,1,9,10,0.0,0.0,0.1111
17223,1,0,0,41,42,0.0244,0.0,0.0
14315,0,1,0,20,21,0.0,0.05,0.0
41141,0,0,0,1,1,0.0,0.0,0.0
70803,0,0,0,31,31,0.0,0.0,0.0
23123,0,0,0,4,4,0.0,0.0,0.0
45769,0,0,0,1,1,0.0,0.0,0.0
23193,0,0,0,21,21,0.0,0.0,0.0
72938,0,0,0,35,35,0.0,0.0,0.0
31290,0,0,0,12,12,0.0,0.0,0.0
83325,0,0,0,6,6,0.0,0.0,0.0
11146,0,1,0,12,13,0.0,0.0833,0.0
5308,0,0,0,9,9,0.0,0.0,0.0
22225,0,0,0,2,2,0.0,0.0,0.0
27977,0,1,0,9,10,0.0,0.1111,0.0
88726,0,1,0,16,17,0.0,0.0625,0.0
51455,0,0,0,7,7,0.0,0.0,0.0
78603,0,0,0,14,14,0.0,0.0,0.0
43307,0,0,0,4,4,0.0,0.0,0.0
85456,0,0,0,39,39,0.0,0.0,0.0
27194,0,0,0,8,8,0.0,0.0,0.0
38150,1,1,0,33,35,0.0303,0.0303,0.0
7530,0,1,2,28,31,0.0,0.0357,0.0714
22965,0,0,1,26,27,0.0,0.0,0.0385
25639,0,0,0,6,6,0.0,0.0,0.0
48308,0,0,1,7,8,0.0,0.0,0.1429
44691,0,0,0,3,3,0.0,0.0,0.0
71571,0,0,0,1,1,0.0,0.0,0.0
23439,0,0,0,34,34,0.0,0.0,0.0
77064,0,0,1,2,3,0.0,0.0,0.5
76739,0,0,1,13,14,0.0,0.0,0.0769
35094,0,1,0,13,14,0.0,0.0769,0.0
63197,0,0,0,1,1,0.0,0.0,0.0
48623,0,1,0,25,26,0.0,0.04,0.0
53896,0,0,0,6,6,0.0,0.0,0.0
20425,0,0,0,3,3,0.0,0.0,0.0
42397,0,0,0,3,3,0.0,0.0,0.0
82901,0,0,0,10,10,0.0,0.0,0.0
45151,0,0,0,2,2,0.0,0.0,0.0
46971,0,0,0,1,1,0.0,0.0,0.0
12292,0,0,0,5,5,0.0,0.0,0.0
101505,0,0,0,2,2,0.0,0.0,0.0
4684,0,0,0,4,4,0.0,0.0,0.0
69601,0,0,0,5,5,0.0,0.0,0.0
18043,0,0,0,13,13,0.0,0.0,0.0
82835,0,0,0,5,5,0.0,0.0,0.0
10745,0,0,0,3,3,0.0,0.0,0.0
51629,0,0,0,1,1,0.0,0.0,0.0
78776,0,0,0,1,1,0.0,0.0,0.0
49668,0,0,0,2,2,0.0,0.0,0.0
31380,0,0,0,2,2,0.0,0.0,0.0
137,0,0,0,2,2,0.0,0.0,0.0
85112,0,2,0,19,21,0.0,0.1053,0.0
79049,0,0,0,15,15,0.0,0.0,0.0
17154,2,4,3,416,425,0.0048,0.0096,0.0072
92748,5,7,8,443,463,0.0113,0.0158,0.0181
103880,0,0,0,3,3,0.0,0.0,0.0
39696,0,0,0,41,41,0.0,0.0,0.0
60540,0,1,0,27,28,0.0,0.037,0.0
49241,0,1,0,8,9,0.0,0.125,0.0
94109,0,0,1,5,6,0.0,0.0,0.2
93556,0,0,0,6,6,0.0,0.0,0.0
32094,0,0,0,18,18,0.0,0.0,0.0
38728,0,0,0,6,6,0.0,0.0,0.0
72406,0,0,1,35,36,0.0,0.0,0.0286
26015,0,1,0,84,85,0.0,0.0119,0.0
18614,0,1,2,57,60,0.0,0.0175,0.0351
38946,5,4,6,314,329,0.0159,0.0127,0.0191
31381,0,0,0,16,16,0.0,0.0,0.0
29061,0,0,0,1,1,0.0,0.0,0.0
65243,0,0,0,8,8,0.0,0.0,0.0
72132,0,0,1,13,14,0.0,0.0,0.0769
104244,0,0,2,25,27,0.0,0.0,0.08
96704,3,3,0,87,93,0.0345,0.0345,0.0
103541,0,1,0,36,37,0.0,0.0278,0.0
48482,0,0,2,7,9,0.0,0.0,0.2857
7576,1,0,0,11,12,0.0909,0.0,0.0
13398,0,1,0,13,14,0.0,0.0769,0.0
47744,0,0,0,56,56,0.0,0.0,0.0
49692,0,0,0,11,11,0.0,0.0,0.0
63589,0,0,0,1,1,0.0,0.0,0.0
59194,0,0,1,8,9,0.0,0.0,0.125
20485,0,0,0,9,9,0.0,0.0,0.0
33854,0,0,0,7,7,0.0,0.0,0.0
33197,0,0,0,3,3,0.0,0.0,0.0
57885,0,1,0,14,15,0.0,0.0714,0.0
54404,0,0,0,7,7,0.0,0.0,0.0
42609,0,0,0,19,19,0.0,0.0,0.0
38138,0,0,0,23,23,0.0,0.0,0.0
85784,0,0,0,13,13,0.0,0.0,0.0
70892,0,0,0,8,8,0.0,0.0,0.0
6962,0,0,1,33,34,0.0,0.0,0.0303
95586,0,0,0,2,2,0.0,0.0,0.0
13765,0,0,0,3,3,0.0,0.0,0.0
33484,0,0,0,18,18,0.0,0.0,0.0
7152,0,0,0,2,2,0.0,0.0,0.0
36533,0,0,0,6,6,0.0,0.0,0.0
104226,0,0,0,15,15,0.0,0.0,0.0
31646,0,0,0,6,6,0.0,0.0,0.0
79248,0,0,0,3,3,0.0,0.0,0.0
40799,0,0,0,1,1,0.0,0.0,0.0
100972,0,0,0,5,5,0.0,0.0,0.0
55607,0,0,0,5,5,0.0,0.0,0.0
23286,0,0,0,45,45,0.0,0.0,0.0
82681,0,1,0,12,13,0.0,0.0833,0.0
9153,0,0,0,1,1,0.0,0.0,0.0
68392,0,0,0,9,9,0.0,0.0,0.0
53546,0,0,0,1,1,0.0,0.0,0.0
10527,0,0,0,4,4,0.0,0.0,0.0
82151,0,0,0,2,2,0.0,0.0,0.0
71891,0,0,0,7,7,0.0,0.0,0.0
97509,0,0,0,8,8,0.0,0.0,0.0
59142,0,0,0,1,1,0.0,0.0,0.0
102391,0,0,0,1,1,0.0,0.0,0.0
40912,0,2,0,3,5,0.0,0.6667,0.0
67419,0,0,0,3,3,0.0,0.0,0.0
78336,0,0,0,1,1,0.0,0.0,0.0
15535,0,0,0,1,1,0.0,0.0,0.0
27583,0,0,0,6,6,0.0,0.0,0.0
14944,0,0,0,6,6,0.0,0.0,0.0
10567,0,0,0,4,4,0.0,0.0,0.0
2833,0,0,0,6,6,0.0,0.0,0.0
8501,0,0,0,1,1,0.0,0.0,0.0
73571,0,0,0,2,2,0.0,0.0,0.0
25862,0,0,1,8,9,0.0,0.0,0.125
65174,0,0,0,2,2,0.0,0.0,0.0
5695,0,1,1,11,13,0.0,0.0909,0.0909
1223,0,0,0,1,1,0.0,0.0,0.0
94918,0,0,0,1,1,0.0,0.0,0.0
65321,0,0,0,1,1,0.0,0.0,0.0
38176,0,0,0,1,1,0.0,0.0,0.0
17836,0,0,0,1,1,0.0,0.0,0.0
15594,0,0,0,3,3,0.0,0.0,0.0
53890,0,0,1,4,5,0.0,0.0,0.25
71508,0,0,0,8,8,0.0,0.0,0.0
32473,0,2,0,31,33,0.0,0.0645,0.0
104205,0,0,0,27,27,0.0,0.0,0.0
5847,0,0,0,2,2,0.0,0.0,0.0
36822,3,9,4,394,410,0.0076,0.0228,0.0102
80981,10,13,10,384,417,0.026,0.0339,0.026
75354,0,4,1,90,95,0.0,0.0444,0.0111
61477,0,0,0,2,2,0.0,0.0,0.0
92852,0,0,0,2,2,0.0,0.0,0.0
41827,0,0,0,8,8,0.0,0.0,0.0
100600,0,0,0,1,1,0.0,0.0,0.0
30589,0,1,8,167,176,0.0,0.006,0.0479
53957,0,0,0,3,3,0.0,0.0,0.0
67625,0,0,0,18,18,0.0,0.0,0.0
17438,2,2,0,12,16,0.1667,0.1667,0.0
96111,0,0,0,11,11,0.0,0.0,0.0
31309,0,0,0,5,5,0.0,0.0,0.0
49678,2,0,0,48,50,0.0417,0.0,0.0
10786,0,0,0,7,7,0.0,0.0,0.0
51979,0,0,0,4,4,0.0,0.0,0.0
25908,0,1,0,67,68,0.0,0.0149,0.0
33012,0,1,1,66,68,0.0,0.0152,0.0152
53642,0,2,1,35,38,0.0,0.0571,0.0286
6832,0,0,0,13,13,0.0,0.0,0.0
104040,0,0,0,2,2,0.0,0.0,0.0
73064,0,0,0,6,6,0.0,0.0,0.0
17346,0,0,2,43,45,0.0,0.0,0.0465
58878,0,0,0,5,5,0.0,0.0,0.0
80587,0,0,1,9,10,0.0,0.0,0.1111
84420,0,0,0,6,6,0.0,0.0,0.0
57262,0,0,0,1,1,0.0,0.0,0.0
20124,0,0,0,14,14,0.0,0.0,0.0
51594,0,0,0,1,1,0.0,0.0,0.0
77706,0,0,0,1,1,0.0,0.0,0.0
82039,1,17,10,388,416,0.0026,0.0438,0.0258
48530,0,1,0,17,18,0.0,0.0588,0.0
61129,0,0,0,15,15,0.0,0.0,0.0
99616,0,0,0,1,1,0.0,0.0,0.0
26921,2,0,0,109,111,0.0183,0.0,0.0
68272,0,1,0,2,3,0.0,0.5,0.0
43675,1,1,0,6,8,0.1667,0.1667,0.0
35348,0,0,0,3,3,0.0,0.0,0.0
70850,0,1,0,1,2,0.0,1.0,0.0
90048,0,0,0,1,1,0.0,0.0,0.0
10257,0,0,0,1,1,0.0,0.0,0.0
86239,0,0,0,8,8,0.0,0.0,0.0
8701,0,0,0,3,3,0.0,0.0,0.0
63033,1,0,0,6,7,0.1667,0.0,0.0
52195,0,0,1,3,4,0.0,0.0,0.3333
25259,0,0,0,7,7,0.0,0.0,0.0
26729,0,0,0,1,1,0.0,0.0,0.0
32290,1,0,0,7,8,0.1429,0.0,0.0
34098,0,0,0,3,3,0.0,0.0,0.0
54125,0,0,0,4,4,0.0,0.0,0.0
37209,0,0,0,1,1,0.0,0.0,0.0
37308,0,0,0,6,6,0.0,0.0,0.0
69197,0,0,0,6,6,0.0,0.0,0.0
76689,0,0,0,2,2,0.0,0.0,0.0
24482,0,0,0,2,2,0.0,0.0,0.0
62387,2,0,0,21,23,0.0952,0.0,0.0
82935,0,0,0,3,3,0.0,0.0,0.0
52060,0,0,0,6,6,0.0,0.0,0.0
20789,0,0,0,3,3,0.0,0.0,0.0
103648,0,0,0,7,7,0.0,0.0,0.0
17036,0,0,0,3,3,0.0,0.0,0.0
67734,0,0,0,1,1,0.0,0.0,0.0
59460,0,0,0,1,1,0.0,0.0,0.0
16510,0,0,0,14,14,0.0,0.0,0.0
14458,0,0,0,3,3,0.0,0.0,0.0
47116,2,0,1,36,39,0.0556,0.0,0.0278
29282,0,0,0,1,1,0.0,0.0,0.0
74799,0,2,0,10,12,0.0,0.2,0.0
4583,0,0,0,7,7,0.0,0.0,0.0
7206,0,0,2,32,34,0.0,0.0,0.0625
6010,0,1,1,82,84,0.0,0.0122,0.0122
40032,1,0,0,19,20,0.0526,0.0,0.0
67489,0,0,0,15,15,0.0,0.0,0.0
94729,0,0,0,3,3,0.0,0.0,0.0
58985,0,6,0,107,113,0.0,0.0561,0.0
53467,1,2,0,60,63,0.0167,0.0333,0.0
15781,0,0,0,5,5,0.0,0.0,0.0
58913,0,0,0,1,1,0.0,0.0,0.0
31498,0,0,0,4,4,0.0,0.0,0.0
88161,0,0,0,3,3,0.0,0.0,0.0
42735,0,0,0,36,36,0.0,0.0,0.0
103014,0,0,0,22,22,0.0,0.0,0.0
18405,0,2,0,53,55,0.0,0.0377,0.0
21710,0,0,0,9,9,0.0,0.0,0.0
14030,0,0,1,15,16,0.0,0.0,0.0667
99034,0,0,1,24,25,0.0,0.0,0.0417
3062,0,0,0,13,13,0.0,0.0,0.0
41817,0,0,1,22,23,0.0,0.0,0.0455
46693,1,0,0,17,18,0.0588,0.0,0.0
8534,0,0,0,60,60,0.0,0.0,0.0
34247,0,3,1,104,108,0.0,0.0288,0.0096
2542,0,0,0,10,10,0.0,0.0,0.0
62673,0,0,3,15,18,0.0,0.0,0.2
90069,0,1,0,13,14,0.0,0.0769,0.0
20631,0,0,0,9,9,0.0,0.0,0.0
11487,0,1,0,11,12,0.0,0.0909,0.0
35191,0,0,0,12,12,0.0,0.0,0.0
20982,0,0,0,8,8,0.0,0.0,0.0
88076,0,0,0,3,3,0.0,0.0,0.0
67169,0,2,0,15,17,0.0,0.1333,0.0
67942,0,0,0,22,22,0.0,0.0,0.0
98896,0,0,0,2,2,0.0,0.0,0.0
66193,0,0,0,11,11,0.0,0.0,0.0
72147,0,0,0,1,1,0.0,0.0,0.0
86023,0,1,0,2,3,0.0,0.5,0.0
100074,2,0,0,13,15,0.1538,0.0,0.0
36580,0,2,0,7,9,0.0,0.2857,0.0
52080,0,0,0,2,2,0.0,0.0,0.0
65992,0,1,0,4,5,0.0,0.25,0.0
57058,0,0,1,13,14,0.0,0.0,0.0769
14812,0,0,0,2,2,0.0,0.0,0.0
74858,0,0,0,3,3,0.0,0.0,0.0
54146,0,0,0,2,2,0.0,0.0,0.0
84867,0,0,0,3,3,0.0,0.0,0.0
11014,0,0,1,5,6,0.0,0.0,0.2
34167,0,0,0,1,1,0.0,0.0,0.0
69564,0,0,0,5,5,0.0,0.0,0.0
85439,0,0,0,3,3,0.0,0.0,0.0
42545,0,0,0,3,3,0.0,0.0,0.0
8640,0,0,0,2,2,0.0,0.0,0.0
42430,0,0,0,4,4,0.0,0.0,0.0
22003,0,1,0,3,4,0.0,0.3333,0.0
15558,0,0,0,1,1,0.0,0.0,0.0
58869,0,0,0,3,3,0.0,0.0,0.0
16255,0,0,0,1,1,0.0,0.0,0.0
72477,0,0,0,1,1,0.0,0.0,0.0
84833,0,0,0,1,1,0.0,0.0,0.0
63696,0,0,1,2,3,0.0,0.0,0.5
9338,0,0,0,3,3,0.0,0.0,0.0
30219,0,0,0,2,2,0.0,0.0,0.0
35571,1,0,1,12,14,0.0833,0.0,0.0833
10558,0,0,1,11,12,0.0,0.0,0.0909
34179,0,8,3,263,274,0.0,0.0304,0.0114
75842,0,0,0,3,3,0.0,0.0,0.0
10530,0,1,0,5,6,0.0,0.2,0.0
27538,0,0,1,11,12,0.0,0.0,0.0909
43801,0,0,1,2,3,0.0,0.0,0.5
96954,1,0,0,15,16,0.0667,0.0,0.0
53344,0,0,0,2,2,0.0,0.0,0.0
6911,0,0,0,14,14,0.0,0.0,0.0
47233,0,0,0,1,1,0.0,0.0,0.0
104242,1,1,0,38,40,0.0263,0.0263,0.0
96419,0,0,2,20,22,0.0,0.0,0.1
76648,2,2,0,111,115,0.018,0.018,0.0
59075,0,0,0,8,8,0.0,0.0,0.0
102642,2,0,0,13,15,0.1538,0.0,0.0
91389,0,0,0,12,12,0.0,0.0,0.0
26713,0,0,0,7,7,0.0,0.0,0.0
24168,0,0,0,2,2,0.0,0.0,0.0
85185,0,0,0,6,6,0.0,0.0,0.0
20409,0,0,0,1,1,0.0,0.0,0.0
59778,4,6,3,137,150,0.0292,0.0438,0.0219
97503,1,1,0,59,61,0.0169,0.0169,0.0
34690,0,0,0,6,6,0.0,0.0,0.0
16800,1,0,0,17,18,0.0588,0.0,0.0
22695,0,0,0,2,2,0.0,0.0,0.0
103876,0,0,0,30,30,0.0,0.0,0.0
99538,0,0,0,35,35,0.0,0.0,0.0
23609,0,0,0,4,4,0.0,0.0,0.0
30650,0,0,0,2,2,0.0,0.0,0.0
5920,0,0,0,1,1,0.0,0.0,0.0
9470,0,0,0,16,16,0.0,0.0,0.0
46739,0,0,0,5,5,0.0,0.0,0.0
85521,1,0,0,20,21,0.05,0.0,0.0
92710,0,0,0,1,1,0.0,0.0,0.0
72096,0,0,1,2,3,0.0,0.0,0.5
71374,0,0,0,17,17,0.0,0.0,0.0
99546,0,1,0,13,14,0.0,0.0769,0.0
15348,0,0,0,8,8,0.0,0.0,0.0
52246,0,0,0,12,12,0.0,0.0,0.0
103139,0,0,0,3,3,0.0,0.0,0.0
29583,0,0,0,7,7,0.0,0.0,0.0
79889,0,0,0,1,1,0.0,0.0,0.0
11024,0,0,0,1,1,0.0,0.0,0.0
43409,0,0,0,3,3,0.0,0.0,0.0
78538,0,0,0,4,4,0.0,0.0,0.0
101595,0,0,0,11,11,0.0,0.0,0.0
6142,0,0,0,11,11,0.0,0.0,0.0
16954,0,0,0,4,4,0.0,0.0,0.0
22857,0,0,0,1,1,0.0,0.0,0.0
8845,0,1,0,3,4,0.0,0.3333,0.0
59189,0,0,0,1,1,0.0,0.0,0.0
94306,0,0,0,1,1,0.0,0.0,0.0
96620,0,0,0,2,2,0.0,0.0,0.0
10443,0,0,0,1,1,0.0,0.0,0.0
3657,0,0,0,2,2,0.0,0.0,0.0
